aX,aY,aZ,gX,gY,gZ
-1.751,-1.132,-0.217,0.083,-0.015,0.024
,,,,,
-2.083,0.026,3.296,-0.784,-0.219,-0.056
-2.234,-0.014,3.424,-0.962,-0.276,-0.058
-2.405,-0.672,3.055,-1.508,-0.552,-0.104
-0.476,-2.257,0.134,-1.802,-0.654,-0.305
-0.754,-3.152,-0.214,-1.564,-0.136,-0.211
0.061,-3.603,-0.917,-1.268,-0.329,-0.362
0.007,-3.442,-1.232,-1.122,-0.142,-0.192
-0.237,-4.275,-2.084,-0.861,-0.138,-0.069
-0.412,-3.577,-1.419,-0.72,-0.157,0.001
-0.427,-4.688,-1.939,-0.792,-0.193,-0.094
-0.032,-3.946,-1.379,-0.651,-0.274,-0.089
-0.214,-5.199,-1.863,-1.132,-0.044,-0.075
0.208,-5.149,-2.328,-0.931,-0.224,-0.02
0.573,-5.411,-2.418,-1.234,0.096,0.05
-0.029,-6.537,-3.531,-1.086,0.607,-0.013
-0.256,-6.329,-3.445,-0.97,0.322,-0.051
0.05,-7.46,-4.117,-0.678,0.201,-0.138
0.101,-7.168,-3.607,-0.203,0.203,-0.049
0.02,-7.603,-3.705,-0.387,0.199,-0.094
0.108,-7.567,-4.08,-0.021,-0.014,-0.017
